lat,lon,name,value
55.7434891,37.6298237,"Дорогая, я перезвоню...",1
55.7721265,37.6316271,Вкусно — и точка,1
55.5717808,37.3562454,,1
59.994459,30.3108429,Магия красоты,1
59.9697443,30.3145325,Теплые края,1
55.8917343,37.4124697,Якитория,1
55.8389575,37.4068188,Гостиный дом,1
55.8884529,37.5880548,Флокс кафе,1
59.9318443,30.3014533,Музей истории религии,1
55.8449331,37.4388327,Якитория,1
60.0912003,30.3792496,Бургер Кинг,1
55.6843506,37.6221411,Якитория,1
55.7732491,37.6782588,Якитория,1
55.7731682,37.6779798,Ян Примус,1
55.7725214,37.637681,Graff Lounge,1
59.9329248,30.3342458,М-отель,1
59.9897093,30.3242096,Вкусно и недорого,1
55.7713346,37.641749,М.Видео,1
59.9926005,29.7829357,14'УЗЛОВ,1
59.9065556,30.2983637,Вкусно — и точка,1
59.9904612,30.3051716,Лиман,1
55.6817764,37.8878894,Якитория,1
55.9313858,37.4939905,Бургер Кинг,1
55.6423755,37.5243508,Полная кружка,1
55.6121242,37.6032396,Якитория,1
59.9190747,30.3115212,Оранжерея,1
55.6186478,37.7145526,Интер,1
55.8883611,37.5883844,Пицца Фреска,1
55.6809247,37.5567027,Конор Мак Несса,1
60.0191102,30.3765925,,1
55.8019166,37.5664799,"Детская библиотека № 45, Интеллект-центр",1
59.8390203,30.3515811,Звёздный,1
59.8692484,30.350116,Кофе Хауз,1
55.7327688,37.6393263,Эль Гаучо,1
55.7423846,37.6522932,Полная кружка,1
55.769292,37.6498864,Якитория,1
55.7230309,37.6740653,Ситилинк,1
55.6333039,37.7437524,Борисово,1
55.6122352,37.745179,Зябликово,1
55.6210274,37.7436392,Шипиловская,1
55.6792565,37.5732987,Москва 117218,1
55.7711023,37.6464255,Каприз,1
59.9631254,30.3073874,Капулетти,1
59.9374125,30.3220191,Аве Цезарь,1
59.9375499,30.3217598,Невский Отель Астер,1
55.6849278,37.5666983,Любимый город,1
55.7334719,37.6388931,Moments,1
59.9158916,30.3119237,Цех85,1
59.9139295,30.3125748,Детская библиотека,1
59.9274077,30.3500826,Форжинг,1
55.7355599,37.6424276,Correa's,1
59.8060977,30.3162358,Crowne Plaza,1
59.9262979,30.3158582,Хочу харчо,1
59.9326608,30.3467993,Литейный проспект,1
59.9141994,30.3225382,Долголетие,1
55.8530917,37.5856945,Чинар,1
55.8530653,37.5855407,,1
55.6680156,37.6547297,Библиотека № 146 им. Толстого,1
59.9182642,30.2909733,Два Му,1
59.7737465,30.1496117,Пингвин,1
55.6804379,37.5379646,Paul Mitchell,1
59.8888819,30.322624,Брандмейстер,1
55.7003527,37.6246859,Старбакс,1
59.9256355,30.3581238,Rostic's,1
59.9264763,30.3130681,Северянин,1
59.8982309,30.473086,Лавка Пекаря,1
55.7294046,37.6770884,Якитория,1
55.7958899,37.5849186,Бургер Кинг,1
55.7099851,37.6571327,Бургер Кинг,1
55.7411804,37.5854454,Корчма,1
55.9178266,37.725238,Якитория,1
59.944079,30.3582942,KFC,1
55.754448,37.6491021,Столовая НИУ ВШЭ,1
55.5352269,37.5278323,Италония,1
55.715533,37.7912958,Мехмонхона,1
55.7592399,37.8434246,Лукойл,1
55.7411915,37.6586706,Му-Му,1
59.8320834,30.1697596,Шиномонтажный центр на Ветеранов 140,1
55.6585682,37.7418904,Бургер Кинг,1
55.8003917,37.5687355,Живём вместе,1
59.8581921,30.3863653,Минутка,1
59.91801,30.4240033,Rostic`s,1
59.8662401,30.3894141,Сказка,1
55.7448724,37.5652192,Бургер Кинг,1
55.6301938,37.6242546,La Pausa,1
59.8541996,30.3595852,Библиотека №1 Московского района,1
55.8954914,37.4800988,Фрау Клара,1
55.7293121,37.6226498,Му-Му,1
59.9313643,30.3198538,Warszawa,1
55.7652907,37.5906293,Bear hostel,1
55.7531738,37.5902989,Bear hostel,1
55.7419081,37.5833445,Bear hostel,1
59.7812438,30.3268234,Green Light café,1
55.7715603,37.6311583,На Сухаревской,1
55.7750135,37.6330526,Садовое Кольцо,1
59.9094525,30.470507,Алекс Отель,1
55.7927303,37.9311019,Аврора,1
55.751707,37.8584224,Станция,1
55.7454813,37.8589106,Якитория,1
59.9637187,30.3219153,Лукоморье,1
60.0328261,30.412255,Вернисаж,1
55.7648283,37.6316133,Loft Bar,1
55.8671196,37.7041062,Бургер Кинг,1
59.9330044,30.4396657,Вкусно — и точка,1
59.9302353,30.367223,,1
59.9373037,30.3367473,Jack and Chan,1
55.6669435,37.8664099,Мастер отель Котельники,1
59.9125281,30.2768861,Чито Гврито,1
59.9144993,30.3494587,Вкусно — и точка,1
55.816968,37.6482136,Дизайн Отель,1
59.8523932,30.2425168,Афоня,1
59.9493205,30.3067199,Традиция,1
59.8585196,30.3204692,Hitch,1
55.644078,37.5085108,Хинкальная,1
55.6921481,37.8970327,Кофе Хауз,1
59.9362993,30.3246487,Хачапури и вино,1
55.6622183,37.9579767,Барракуда,1
55.7949346,37.7057455,Илья Муромец,1
55.7944316,37.705914,Лок Сток,1
55.9094189,37.8674805,Интердентос,1
59.9530729,30.2911251,BChostel,1
55.7450867,37.8637729,Новокосино,1
55.7566034,37.6596964,Старбакс,1
59.9281623,30.3227454,Рада & K,1
59.9463102,30.3583739,Frida,1
59.9278364,30.3527285,8956,1
55.7644063,37.6850342,Лефортовский мост,1
59.8338856,30.3465686,папироска.рф,1
55.8019303,37.5309981,Корчма,1
59.7256661,30.4178969,Корюшка,1
55.7400885,37.7838962,Наше кафе,1
55.7385152,37.525701,Сбербанк,1
60.0496662,30.3538476,Токио-City,1
59.8345668,30.261531,Ринго,1
59.8507087,30.1736812,Южно-приморский,1
59.9223388,30.3360474,Теремок,1
60.0126084,30.3981943,Бургер Кинг,1
55.8881567,37.5881897,,1
55.6939855,37.533403,Шоколадница,1
59.9199731,30.3540206,Теремок,1
55.7964748,37.599163,Кофе Порт,1
55.7426297,37.4996642,Бургер Кинг,1
55.7429533,37.5035131,Якитория,1
55.6327995,37.765935,Алма-Атинская,1
55.8096711,37.7771044,ЛидерМос,1
55.856143,37.3542024,Пятницкое шоссе,1
59.9189361,30.2889741,Торт I,1
59.9358808,30.3512741,Al Capone,1
55.7596876,37.657171,Шоколадница,1
55.7787524,37.6005056,Coffee Bean,1
59.9176026,30.2880277,Sergio,1
59.9568937,30.3621828,Открытие,1
55.7612296,37.6177102,Града,1
55.7708113,37.6206762,Шоколадница,1
55.770379,37.6206946,Бургер Кинг,1
55.6540254,37.840991,Стокманн,1
55.5915724,37.3660684,Якитория,1
